ico_smluvni_strany;castka;nazev_smluvni_strany;predmet;publikovano;hodnota_raw
12584878;63779,0;Aleš Sebastianides;Obj. č. 17/2026 Dodávka a pokládka koberce včetně úpravy podkladu;15.01.2026;63 779 CZK bez DPH
04308697;8014675,0;Aricoma Systems a.s.;Smlouva o zajištění licencí pro Centrální ServiceDesk NIPEZ;15.01.2026;8 014 675 CZK bez DPH
07340583;1960200,0;Gov Lab s.r.o.;Smlouva o poskytování evaluačních služeb v rámci veřejné zakázky „Procesní a výsledková evaluace Regionálních center na podporu investic do bydlení“;13.01.2026;1 960 200 CZK s DPH
66002222;;Ministerstvo pro místní rozvoj;Účastnická smlouva;09.01.2026;Neuvedeno
72053127;172820,0;Jihočeská centrála cestovního ruchu;Smlouva o podmínkách realizace projektu (SoPR) - 240/PP4;09.01.2026;172 820 EUR
04095316;172820,0;Centrum pro regionální rozvoj České republiky;Smlouva o podmínkách realizace projektu (SoPR) - 240/PP4;09.01.2026;172 820 EUR
07081561;91543743,0;SEVITECH CZ s.r.o.;Dodatek č. 2 ke smlouvě CES 6570, O údržbě, podpoře a rozvoji národního geoportálu územního plánování;09.01.2026;91 543 743 CZK bez DPH
31605052;91543743,0;SYNCHRONIX, a.s;Dodatek č. 2 ke smlouvě CES 6570, O údržbě, podpoře a rozvoji národního geoportálu územního plánování;09.01.2026;91 543 743 CZK bez DPH
22396098;175640,0;Centrála cestovního ruchu Plzeňského kraje, z.ú.;Smlouva o podmínkách realizace projektu (SoPR) - 240/PP6;09.01.2026;175 640 EUR
04095316;175640,0;Centrum pro regionální rozvoj České republiky;Smlouva o podmínkách realizace projektu (SoPR) - 240/PP6;09.01.2026;175 640 EUR
66002222;1425000,0;Ministerstvo pro místní rozvoj;Smlouva o poskytnutí dotace - Rozhodnutí o poskytnutní dotace - RFID bezpečnostní brána a úsporná energetická opatření - knihovna;08.01.2026;1 425 000 CZK s DPH
;916633,0;Gmina Kornowac;Čtyři živly - připravení na změnu klimatu;07.01.2026;916 633 EUR
00001350;300000000,0;Československá obchodní banka, a. s.;Smlouva o úvěru na financování a refinancování investičních akcí na zvýšení kapacity základních škol, jídelen a kuchyní;07.01.2026;300 000 000 CZK bez DPH
25307126;484179,0;MAXPROGRES, s.r.o.;Odstranění havarijního stavu integrační a zobrazovací nadstavby v objektu MMR Na Příkopě 3, P-1;06.01.2026;484 179 CZK bez DPH
00176150;499938,0;Konica Minolta Business Solutions Czech, spol. s r.o.;Dodávka, montáž a instalace modulu - lepícího zařízení PB-503;05.01.2026;499 938 CZK bez DPH
27634124;438000,0;CEFA s.r.o.;Vypracování analýzy technického stavu vzduchotechniky v objektech MMR;02.01.2026;438 000 CZK bez DPH
75259028;462825,0;Ing. Jan Homola;Expertní poradenství v oblasti obrany a dual use EU fondů;02.01.2026;462 825 CZK s DPH
64609995;15944957,0;MERIT GROUP a.s.;Nákup podpory SW společnosti Melite nutné pro běh monitorovacích systémů - jedná se o subskripci licence (pronájem).;02.01.2026;15 944 957 CZK bez DPH
66002222;213500,0;Ministerstvo pro místní rozvoj;03_Objednávka_Ostatní činnosti_Příprava služby_Datový okruh;31.12.2025;213 500 CZK bez DPH
66002222;248488,0;Ministerstvo pro místní rozvoj;04_Objednávka_Poskytování Služby konektivita pro MMR Datový okruh;31.12.2025;248 488 CZK bez DPH
66002222;367500,0;Ministerstvo pro místní rozvoj;07_Objednávka_Ostatní činnosti_Příprava a konfigurace služby Konektivita pro MMR Landing zóna;31.12.2025;367 500 CZK bez DPH
66002222;;Ministerstvo pro místní rozvoj;Dodatek č. 1 k Objednávce na Cloudové Služby č. MMR-eTurista-OBJ02_prodloužení doby plnění;31.12.2025;Neuvedeno
66002222;11740000,0;Ministerstvo pro místní rozvoj;Dodatek č. 1 k Rámcové smlouvě o poskytování cloudové platformy Azure_navýšení maximální souhrnné ceny smlouvy;31.12.2025;11 740 000 CZK bez DPH
64609995;2074664,0;MERIT GROUP a.s.;Prodloužení technické podpory u již vlastněných SW licencí a HW prvků. Jedná se o produkty společností HP a Broadcom.;31.12.2025;2 074 664 CZK bez DPH
04767543;;Národní agentura pro komunikační a informační technologie, s. p.;Dodatek č. 2 k rámcové smlouvě o poskytování konzultačních služeb;30.12.2025;Neuvedeno
07897758;430000,0;Participation Factory s.r.o.;Stakeholder mapping, zajištění facilitace dvou setkání a zpracování závěrečného reportu;30.12.2025;430 000 CZK bez DPH
;150000,0;MANUFACTURE FRANCAISE DES PNEUMATIQUES MICHELIN;CES 6491 - MICHELIN CULINARY AUDIT AGREEMENT ( Analýza potenciálu);29.12.2025;150 000 CZK bez DPH
62419641;500000,0;TRASK SOLUTIONS a.s.;poskytování expertních služeb v oblasti návrhu infrastrukturních služeb, zahrnující migraci stávající infrastruktury a vypracování high-level architektury v rámci IT Transformačního programu;19.12.2025;500 000 CZK bez DPH
25056981;499000,0;KVĚTINOVÉ STUDIO BUBENÍČKOVÁ s.r.o.;Květinová výzdoba a údržba zeleně na MMR;19.12.2025;499 000 CZK bez DPH
11769327;130000,0;IT PORADCE s.r.o.;Úpravy webové aplikace Vesnice roku;19.12.2025;130 000 CZK bez DPH
17651921;130000,0;Digitální a informační agentura;Úpravy webové aplikace Vesnice roku;19.12.2025;130 000 CZK bez DPH
45694486;399000,0;Josef Bárta;Oprava, údržba, montáž a dodání nových žaluzií do budov MMR;19.12.2025;399 000 CZK bez DPH
25750178;98218,0;PROTECH PRODUCTION, s.r.o.;Putovní výstava IROP - dílčí objednávka č. 28;19.12.2025;98 218 CZK bez DPH
45309612;344895340,0;S u b t e r r a a.s.;Smlouva  o dílo - Intenzifikace a zkapacitnění ČOV Brandýs n.L.;19.12.2025;344 895 340 CZK bez DPH
27195147;344895340,0;SMP CZ, a.s.;Smlouva  o dílo - Intenzifikace a zkapacitnění ČOV Brandýs n.L.;19.12.2025;344 895 340 CZK bez DPH
25898795;180000,0;ATLAS software a.s.;předplatné programu CODEXIS dokoupení 50 000 000 kreditů na 3 roky;18.12.2025;180 000 CZK bez DPH
01572377;247559756,0;Seyfor, a. s.;Dodatek č. 2 ke Smlouvě o dodávce HW a SW včetně technické podpory pro produkční prostředí MS2021+ - proprietární HW a SW ORACLE;18.12.2025;247 559 756 CZK bez DPH
21528772;5748496,0;A ADVERTISING COMMUNICATION, s.r.o.;Kampaně 2026;18.12.2025;5 748 496 CZK bez DPH
07081561;91543743,0;SEVITECH CZ s.r.o.;Dodatek č. 2 ke smlouvě CES 6570, O údržbě, podpoře a rozvoji národního geoportálu územního plánování;18.12.2025;91 543 743 CZK bez DPH
31605052;91543743,0;SYNCHRONIX, a.s;Dodatek č. 2 ke smlouvě CES 6570, O údržbě, podpoře a rozvoji národního geoportálu územního plánování;18.12.2025;91 543 743 CZK bez DPH
